trading_date,RU_total_oi
2016-05-26,418056.0
2016-05-27,410944.0
2016-05-30,410872.0
2016-05-31,428326.0
2016-06-01,455312.0
2016-06-02,441878.0
2016-06-03,427572.0
2016-06-06,429136.0
2016-06-07,443584.0
2016-06-08,439092.0
2016-06-13,446308.0
2016-06-14,458300.0
2016-06-15,470388.0
2016-06-16,476330.0
2016-06-17,482592.0
2016-06-20,484120.0
2016-06-21,479772.0
2016-06-22,497144.0
2016-06-23,489314.0
2016-06-24,476322.0
2016-06-27,484862.0
2016-06-28,496312.0
2016-06-29,502146.0
2016-06-30,506506.0
2016-07-01,499222.0
2016-07-04,495966.0
2016-07-05,485916.0
2016-07-06,483148.0
2016-07-07,487558.0
2016-07-08,487616.0
2016-07-11,489940.0
2016-07-12,500134.0
2016-07-13,496282.0
2016-07-14,490214.0
2016-07-15,481212.0
2016-07-18,481560.0
2016-07-19,486874.0
2016-07-20,486248.0
2016-07-21,493296.0
2016-07-22,479620.0
2016-07-25,482088.0
2016-07-26,482878.0
2016-07-27,468332.0
2016-07-28,459064.0
2016-07-29,465600.0
2016-08-01,447744.0
2016-08-02,438462.0
2016-08-03,439292.0
2016-08-04,444950.0
2016-08-05,437874.0
2016-08-08,440392.0
2016-08-09,443290.0
2016-08-10,436400.0
2016-08-11,430990.0
2016-08-12,454996.0
2016-08-15,461822.0
2016-08-16,449544.0
2016-08-17,454112.0
2016-08-18,437264.0
2016-08-19,438630.0
2016-08-22,429808.0
2016-08-23,429294.0
2016-08-24,429404.0
2016-08-25,418072.0
2016-08-26,416278.0
2016-08-29,409614.0
2016-08-30,402178.0
2016-08-31,412226.0
2016-09-01,388960.0
2016-09-02,370064.0
2016-09-05,368660.0
2016-09-06,369340.0
2016-09-07,364604.0
2016-09-08,372314.0
2016-09-09,372434.0
2016-09-12,351998.0
2016-09-13,344650.0
2016-09-14,334590.0
2016-09-19,374498.0
2016-09-20,382152.0
2016-09-21,378570.0
2016-09-22,396096.0
2016-09-23,402634.0
2016-09-26,394110.0
2016-09-27,385596.0
2016-09-28,401436.0
2016-09-29,373344.0
2016-09-30,350196.0
2016-10-10,377946.0
2016-10-11,398844.0
2016-10-12,402908.0
2016-10-13,396390.0
2016-10-14,423482.0
2016-10-17,424534.0
2016-10-18,425352.0
2016-10-19,396424.0
2016-10-20,399312.0
2016-10-21,388802.0
2016-10-24,396780.0
2016-10-25,396274.0
2016-10-26,402502.0
2016-10-27,411732.0
2016-10-28,413470.0
2016-10-31,411814.0
2016-11-01,417122.0
2016-11-02,418628.0
2016-11-03,415570.0
2016-11-04,401604.0
2016-11-07,412256.0
2016-11-08,445284.0
2016-11-09,436446.0
2016-11-10,453308.0
2016-11-11,437482.0
2016-11-14,374150.0
2016-11-15,391556.0
2016-11-16,425436.0
2016-11-17,422210.0
2016-11-18,407090.0
2016-11-21,436124.0
2016-11-22,425504.0
2016-11-23,418268.0
2016-11-24,437316.0
2016-11-25,431400.0
2016-11-28,459548.0
2016-11-29,433986.0
2016-11-30,394412.0
2016-12-01,392470.0
2016-12-02,383084.0
2016-12-05,390620.0
2016-12-06,386168.0
2016-12-07,396586.0
2016-12-08,389362.0
2016-12-09,389948.0
2016-12-12,374478.0
2016-12-13,397304.0
2016-12-14,390756.0
2016-12-15,373376.0
2016-12-16,371418.0
2016-12-19,361018.0
2016-12-20,354286.0
2016-12-21,352452.0
2016-12-22,358524.0
2016-12-23,344596.0
2016-12-26,338072.0
2016-12-27,321132.0
2016-12-28,319100.0
2016-12-29,318410.0
2016-12-30,307394.0
2017-01-03,316878.0
2017-01-04,330072.0
2017-01-05,324550.0
2017-01-06,331120.0
2017-01-09,354256.0
2017-01-10,356250.0
2017-01-11,359848.0
2017-01-12,375796.0
2017-01-13,377198.0
2017-01-16,378948.0
