trading_date,FU_total_oi
2022-03-17,444756.0
2022-03-18,454231.0
2022-03-21,448767.0
2022-03-22,482403.0
2022-03-23,488095.0
2022-03-24,507206.0
2022-03-25,499901.0
2022-03-28,462509.0
2022-03-29,440821.0
2022-03-30,434719.0
2022-03-31,383149.0
2022-04-01,357205.0
2022-04-06,377381.0
2022-04-07,401947.0
2022-04-08,402479.0
2022-04-11,410522.0
2022-04-12,432568.0
2022-04-13,459378.0
2022-04-14,476135.0
2022-04-15,486280.0
2022-04-18,458181.0
2022-04-19,440673.0
2022-04-20,418778.0
2022-04-21,447828.0
2022-04-22,403386.0
2022-04-25,379649.0
2022-04-26,346222.0
2022-04-27,362409.0
2022-04-28,381500.0
2022-04-29,485374.0
2022-05-05,499440.0
2022-05-06,508165.0
2022-05-09,508528.0
2022-05-10,523281.0
2022-05-11,484798.0
2022-05-12,491566.0
2022-05-13,481773.0
2022-05-16,505452.0
2022-05-17,504298.0
2022-05-18,517924.0
2022-05-19,495097.0
2022-05-20,498156.0
2022-05-23,498612.0
2022-05-24,493453.0
2022-05-25,519664.0
2022-05-26,518168.0
2022-05-27,525057.0
2022-05-30,524915.0
2022-05-31,512099.0
2022-06-01,512106.0
2022-06-02,498366.0
2022-06-06,484633.0
2022-06-07,538214.0
2022-06-08,564727.0
2022-06-09,594700.0
2022-06-10,535846.0
2022-06-13,540420.0
2022-06-14,563478.0
2022-06-15,537571.0
2022-06-16,499378.0
2022-06-17,499395.0
2022-06-20,543069.0
2022-06-21,493944.0
2022-06-22,552035.0
2022-06-23,542112.0
2022-06-24,552413.0
2022-06-27,545631.0
2022-06-28,514573.0
2022-06-29,519218.0
2022-06-30,486144.0
2022-07-01,506088.0
2022-07-04,511406.0
2022-07-05,574898.0
2022-07-06,606677.0
2022-07-07,593134.0
2022-07-08,594803.0
2022-07-11,604657.0
2022-07-12,590956.0
2022-07-13,643120.0
2022-07-14,638562.0
2022-07-15,683875.0
2022-07-18,631975.0
2022-07-19,645061.0
2022-07-20,638376.0
2022-07-21,625654.0
2022-07-22,639428.0
2022-07-25,624156.0
2022-07-26,644794.0
2022-07-27,642368.0
2022-07-28,633054.0
2022-07-29,572908.0
2022-08-01,572618.0
