trading_date,OI_total_oi
2017-05-26,438128.0
2017-05-31,442768.0
2017-06-01,445394.0
2017-06-02,443000.0
2017-06-05,446772.0
2017-06-06,430918.0
2017-06-07,420866.0
2017-06-08,427984.0
2017-06-09,420204.0
2017-06-12,410474.0
2017-06-13,409210.0
2017-06-14,403694.0
2017-06-15,397346.0
2017-06-16,391952.0
2017-06-19,393508.0
2017-06-20,388846.0
2017-06-21,384912.0
2017-06-22,395994.0
2017-06-23,400622.0
2017-06-26,405586.0
2017-06-27,413400.0
2017-06-28,418976.0
2017-06-29,427256.0
2017-06-30,420112.0
2017-07-03,412786.0
2017-07-04,408682.0
2017-07-05,404486.0
2017-07-06,391024.0
2017-07-07,397028.0
2017-07-10,388928.0
2017-07-11,388290.0
2017-07-12,390408.0
2017-07-13,398184.0
2017-07-14,405134.0
2017-07-17,404458.0
2017-07-18,403030.0
2017-07-19,400624.0
2017-07-20,408800.0
2017-07-21,415776.0
2017-07-24,411252.0
2017-07-25,412970.0
2017-07-26,406504.0
2017-07-27,411810.0
2017-07-28,412048.0
2017-07-31,403632.0
2017-08-01,405650.0
2017-08-02,407450.0
2017-08-03,409242.0
2017-08-04,405872.0
2017-08-07,407356.0
2017-08-08,422794.0
2017-08-09,428852.0
2017-08-10,452752.0
2017-08-11,500580.0
2017-08-14,498666.0
2017-08-15,494608.0
2017-08-16,458078.0
2017-08-17,459258.0
2017-08-18,463096.0
2017-08-21,462860.0
2017-08-22,481020.0
2017-08-23,485144.0
2017-08-24,490194.0
2017-08-25,494988.0
2017-08-28,496226.0
2017-08-29,491418.0
2017-08-30,503418.0
2017-08-31,502760.0
2017-09-01,516812.0
2017-09-04,522094.0
2017-09-05,526184.0
2017-09-06,523878.0
2017-09-07,515208.0
2017-09-08,506464.0
2017-09-11,492376.0
2017-09-12,488534.0
2017-09-13,489000.0
2017-09-14,490806.0
2017-09-15,462830.0
2017-09-18,457756.0
2017-09-19,459656.0
2017-09-20,458586.0
2017-09-21,460246.0
2017-09-22,449138.0
2017-09-25,446908.0
2017-09-26,444174.0
2017-09-27,439010.0
2017-09-28,434956.0
2017-09-29,426746.0
2017-10-09,426662.0
2017-10-10,434880.0
2017-10-11,440928.0
2017-10-12,445100.0
2017-10-13,452198.0
2017-10-16,458378.0
2017-10-17,457064.0
2017-10-18,460608.0
2017-10-19,471482.0
2017-10-20,473996.0
2017-10-23,468894.0
2017-10-24,480866.0
2017-10-25,476470.0
2017-10-26,490892.0
2017-10-27,498444.0
2017-10-30,504732.0
2017-10-31,493194.0
2017-11-01,499674.0
2017-11-02,502384.0
2017-11-03,496654.0
2017-11-06,491042.0
2017-11-07,500966.0
2017-11-08,494570.0
2017-11-09,492004.0
2017-11-10,475730.0
2017-11-13,476344.0
2017-11-14,467792.0
2017-11-15,448684.0
2017-11-16,449038.0
2017-11-17,446922.0
2017-11-20,447866.0
2017-11-21,445342.0
2017-11-22,446146.0
2017-11-23,439792.0
2017-11-24,438932.0
2017-11-27,436216.0
2017-11-28,425010.0
2017-11-29,417498.0
2017-11-30,411506.0
2017-12-01,418340.0
2017-12-04,419616.0
2017-12-05,423038.0
2017-12-06,412990.0
2017-12-07,415680.0
2017-12-08,403978.0
2017-12-11,395724.0
2017-12-12,389660.0
2017-12-13,389932.0
2017-12-14,390812.0
2017-12-15,392296.0
2017-12-18,385140.0
2017-12-19,385054.0
2017-12-20,381812.0
2017-12-21,385500.0
2017-12-22,375116.0
2017-12-25,364478.0
2017-12-26,359442.0
2017-12-27,355910.0
2017-12-28,357564.0
2017-12-29,352096.0
2018-01-02,344250.0
2018-01-03,349952.0
2018-01-04,348242.0
2018-01-05,356080.0
2018-01-08,362068.0
2018-01-09,363374.0
2018-01-10,364910.0
2018-01-11,372630.0
