trading_date,TA_total_oi
2018-03-23,1546820.0
2018-03-26,1543448.0
2018-03-27,1596952.0
2018-03-28,1666674.0
2018-03-29,1698018.0
2018-03-30,1687236.0
2018-04-02,1680360.0
2018-04-03,1704614.0
2018-04-04,1706988.0
2018-04-09,1744904.0
2018-04-10,1728326.0
2018-04-11,1755884.0
2018-04-12,1759780.0
2018-04-13,1744920.0
2018-04-16,1691076.0
2018-04-17,1685292.0
2018-04-18,1692594.0
2018-04-19,1688894.0
2018-04-20,1640544.0
2018-04-23,1660772.0
2018-04-24,1646292.0
2018-04-25,1634434.0
2018-04-26,1636050.0
