trading_date,MA_total_oi
2017-05-17,737832.0
2017-05-18,767068.0
2017-05-19,718232.0
2017-05-22,647596.0
2017-05-23,644998.0
2017-05-24,610324.0
2017-05-25,718630.0
2017-05-26,594884.0
2017-05-31,556682.0
2017-06-01,553846.0
2017-06-02,636610.0
2017-06-05,577672.0
2017-06-06,704450.0
2017-06-07,644518.0
2017-06-08,752094.0
2017-06-09,662776.0
2017-06-12,721276.0
2017-06-13,644312.0
2017-06-14,689134.0
2017-06-15,625888.0
2017-06-16,665952.0
2017-06-19,766236.0
2017-06-20,693790.0
2017-06-21,768454.0
2017-06-22,692600.0
2017-06-23,647872.0
2017-06-26,634022.0
2017-06-27,662694.0
2017-06-28,662948.0
2017-06-29,763104.0
2017-06-30,747392.0
2017-07-03,794540.0
2017-07-04,731598.0
2017-07-05,822486.0
2017-07-06,956764.0
2017-07-07,919776.0
2017-07-10,851834.0
2017-07-11,921772.0
2017-07-12,869544.0
2017-07-13,832878.0
2017-07-14,903770.0
2017-07-17,893166.0
2017-07-18,918298.0
2017-07-19,942430.0
2017-07-20,996874.0
2017-07-21,885732.0
2017-07-24,899304.0
2017-07-25,869350.0
2017-07-26,877602.0
2017-07-27,761202.0
2017-07-28,780632.0
2017-07-31,758140.0
2017-08-01,747614.0
2017-08-02,746624.0
2017-08-03,694988.0
2017-08-04,775144.0
2017-08-07,779972.0
2017-08-08,812828.0
2017-08-09,815822.0
2017-08-10,796310.0
2017-08-11,685788.0
2017-08-14,646414.0
2017-08-15,625646.0
2017-08-16,589716.0
2017-08-17,686442.0
2017-08-18,620782.0
2017-08-21,727310.0
2017-08-22,665632.0
2017-08-23,703050.0
2017-08-24,624270.0
2017-08-25,630754.0
2017-08-28,623052.0
2017-08-29,784372.0
2017-08-30,745026.0
2017-08-31,763326.0
2017-09-01,711186.0
2017-09-04,795166.0
2017-09-05,712498.0
2017-09-06,776440.0
2017-09-07,717124.0
2017-09-08,711390.0
2017-09-11,653370.0
2017-09-12,705730.0
2017-09-13,662872.0
2017-09-14,681572.0
2017-09-15,644284.0
2017-09-18,603076.0
2017-09-19,596780.0
2017-09-20,622298.0
2017-09-21,658236.0
2017-09-22,602478.0
2017-09-25,627786.0
2017-09-26,586808.0
2017-09-27,578266.0
2017-09-28,562098.0
2017-09-29,481518.0
2017-10-09,512366.0
2017-10-10,638496.0
2017-10-11,698644.0
2017-10-12,722270.0
2017-10-13,651578.0
2017-10-16,666602.0
2017-10-17,708904.0
2017-10-18,703164.0
2017-10-19,683120.0
2017-10-20,734372.0
2017-10-23,741102.0
2017-10-24,777430.0
2017-10-25,740474.0
2017-10-26,746348.0
2017-10-27,713930.0
2017-10-30,677440.0
2017-10-31,698748.0
2017-11-01,742828.0
2017-11-02,812564.0
2017-11-03,808250.0
2017-11-06,860880.0
2017-11-07,814452.0
2017-11-08,889470.0
2017-11-09,857072.0
2017-11-10,845232.0
2017-11-13,945344.0
2017-11-14,910074.0
2017-11-15,830982.0
2017-11-16,791402.0
2017-11-17,902676.0
2017-11-20,852090.0
2017-11-21,1005974.0
2017-11-22,991976.0
2017-11-23,960492.0
2017-11-24,941676.0
2017-11-27,918486.0
2017-11-28,838790.0
2017-11-29,893944.0
2017-11-30,904704.0
2017-12-01,886478.0
2017-12-04,971996.0
2017-12-05,888998.0
2017-12-06,905264.0
2017-12-07,820378.0
2017-12-08,790406.0
2017-12-11,884962.0
2017-12-12,976884.0
2017-12-13,1007270.0
2017-12-14,934148.0
2017-12-15,886508.0
2017-12-18,923396.0
2017-12-19,889942.0
2017-12-20,993064.0
2017-12-21,830932.0
2017-12-22,860974.0
2017-12-25,809800.0
2017-12-26,749742.0
2017-12-27,792954.0
2017-12-28,706896.0
2017-12-29,666208.0
2018-01-02,682320.0
2018-01-03,676936.0
2018-01-04,711714.0
2018-01-05,680406.0
2018-01-08,817524.0
2018-01-09,779640.0
2018-01-10,790572.0
2018-01-11,794480.0
2018-01-12,741764.0
2018-01-15,741948.0
2018-01-16,885084.0
2018-01-17,806592.0
2018-01-18,832778.0
2018-01-19,825664.0
2018-01-22,804514.0
2018-01-23,790338.0
2018-01-24,781566.0
2018-01-25,808054.0
2018-01-26,786566.0
