trading_date,ZC_total_oi
2017-12-05,474158.0
2017-12-06,468320.0
2017-12-07,442612.0
2017-12-08,461492.0
2017-12-11,433444.0
2017-12-12,432538.0
2017-12-13,432080.0
2017-12-14,434774.0
2017-12-15,423080.0
2017-12-18,450398.0
2017-12-19,442648.0
2017-12-20,434602.0
2017-12-21,429430.0
2017-12-22,410610.0
2017-12-25,417350.0
2017-12-26,401760.0
2017-12-27,412732.0
2017-12-28,357390.0
2017-12-29,323392.0
2018-01-02,308986.0
2018-01-03,296766.0
2018-01-04,309900.0
2018-01-05,311628.0
2018-01-08,318444.0
2018-01-09,289578.0
2018-01-10,316860.0
2018-01-11,306940.0
2018-01-12,313800.0
2018-01-15,307052.0
2018-01-16,326892.0
2018-01-17,337834.0
2018-01-18,386276.0
2018-01-19,388208.0
2018-01-22,434606.0
2018-01-23,447250.0
2018-01-24,482154.0
2018-01-25,498232.0
2018-01-26,523272.0
2018-01-29,552218.0
2018-01-30,504282.0
2018-01-31,496678.0
2018-02-01,518122.0
2018-02-02,503812.0
2018-02-05,488808.0
2018-02-06,465536.0
2018-02-07,438370.0
2018-02-08,419896.0
2018-02-09,397086.0
2018-02-12,388228.0
2018-02-13,377134.0
2018-02-14,358970.0
2018-02-22,388726.0
2018-02-23,418408.0
2018-02-26,424704.0
2018-02-27,422344.0
2018-02-28,433268.0
2018-03-01,448710.0
2018-03-02,443492.0
2018-03-05,471864.0
2018-03-06,464926.0
2018-03-07,475790.0
2018-03-08,490748.0
2018-03-09,493940.0
2018-03-12,503648.0
2018-03-13,507346.0
2018-03-14,502510.0
2018-03-15,497408.0
2018-03-16,498542.0
2018-03-19,504366.0
2018-03-20,501456.0
2018-03-21,508298.0
2018-03-22,509460.0
2018-03-23,498216.0
2018-03-26,471210.0
2018-03-27,479590.0
2018-03-28,476486.0
2018-03-29,469714.0
2018-03-30,462552.0
2018-04-02,483512.0
2018-04-03,495954.0
2018-04-04,491530.0
2018-04-09,499482.0
2018-04-10,524876.0
2018-04-11,523030.0
2018-04-12,530930.0
2018-04-13,522328.0
2018-04-16,497074.0
2018-04-17,508004.0
2018-04-18,495060.0
2018-04-19,494222.0
2018-04-20,489148.0
2018-04-23,501460.0
2018-04-24,500750.0
2018-04-25,506474.0
2018-04-26,494336.0
2018-04-27,480000.0
2018-05-02,480690.0
2018-05-03,498062.0
2018-05-04,535064.0
2018-05-07,561250.0
2018-05-08,551064.0
2018-05-09,498324.0
2018-05-10,513556.0
2018-05-11,542410.0
2018-05-14,542602.0
2018-05-15,531168.0
2018-05-16,534218.0
2018-05-17,525178.0
2018-05-18,543250.0
2018-05-21,541700.0
2018-05-22,536628.0
2018-05-23,556988.0
2018-05-24,515408.0
2018-05-25,521960.0
2018-05-28,536970.0
2018-05-29,526938.0
2018-05-30,515764.0
2018-05-31,503570.0
2018-06-01,505120.0
2018-06-04,522336.0
2018-06-05,562648.0
2018-06-06,552130.0
2018-06-07,553428.0
2018-06-08,562106.0
2018-06-11,569702.0
2018-06-12,613434.0
2018-06-13,599276.0
2018-06-14,593650.0
2018-06-15,608980.0
2018-06-19,538756.0
2018-06-20,537456.0
2018-06-21,531102.0
2018-06-22,522756.0
2018-06-25,522554.0
2018-06-26,508578.0
2018-06-27,507960.0
2018-06-28,502096.0
2018-06-29,499838.0
2018-07-02,463690.0
2018-07-03,452670.0
2018-07-04,448526.0
2018-07-05,424212.0
2018-07-06,442496.0
2018-07-09,440828.0
2018-07-10,453610.0
2018-07-11,434298.0
2018-07-12,417438.0
2018-07-13,486866.0
2018-07-16,489370.0
2018-07-17,489838.0
2018-07-18,534662.0
2018-07-19,483014.0
2018-07-20,475662.0
2018-07-23,495258.0
2018-07-24,504832.0
2018-07-25,525160.0
2018-07-26,548250.0
2018-07-27,552156.0
2018-07-30,574550.0
2018-07-31,591542.0
2018-08-01,596452.0
2018-08-02,614846.0
2018-08-03,622792.0
2018-08-06,585140.0
2018-08-07,495140.0
2018-08-08,429238.0
2018-08-09,421860.0
