trading_date,L_total_oi
2016-12-09,429802.0
2016-12-12,404964.0
2016-12-13,417586.0
2016-12-14,409618.0
2016-12-15,388848.0
2016-12-16,405650.0
2016-12-19,389106.0
2016-12-20,364630.0
2016-12-21,343848.0
2016-12-22,352536.0
2016-12-23,320660.0
2016-12-26,343674.0
2016-12-27,353426.0
2016-12-28,332762.0
2016-12-29,337594.0
2016-12-30,294808.0
2017-01-03,300602.0
2017-01-04,307250.0
2017-01-05,312558.0
2017-01-06,323064.0
2017-01-09,297674.0
2017-01-10,292880.0
2017-01-11,298516.0
2017-01-12,309482.0
2017-01-13,347900.0
2017-01-16,336280.0
2017-01-17,335598.0
2017-01-18,354486.0
2017-01-19,327322.0
2017-01-20,362436.0
2017-01-23,377726.0
2017-01-24,334122.0
2017-01-25,346058.0
2017-01-26,329850.0
2017-02-03,328820.0
2017-02-06,395410.0
2017-02-07,409276.0
2017-02-08,409428.0
2017-02-09,400550.0
2017-02-10,385342.0
2017-02-13,455250.0
2017-02-14,444904.0
2017-02-15,398494.0
2017-02-16,357430.0
2017-02-17,345946.0
2017-02-20,351920.0
2017-02-21,370706.0
2017-02-22,355844.0
2017-02-23,407992.0
2017-02-24,393314.0
2017-02-27,400056.0
2017-02-28,416266.0
2017-03-01,452304.0
2017-03-02,482562.0
2017-03-03,477350.0
2017-03-06,453926.0
2017-03-07,481108.0
2017-03-08,516446.0
2017-03-09,483080.0
2017-03-10,497242.0
2017-03-13,475518.0
2017-03-14,467186.0
2017-03-15,454796.0
2017-03-16,449002.0
2017-03-17,457134.0
2017-03-20,448938.0
2017-03-21,441338.0
2017-03-22,445320.0
2017-03-23,439852.0
2017-03-24,436024.0
2017-03-27,454590.0
2017-03-28,446446.0
2017-03-29,408698.0
2017-03-30,429900.0
2017-03-31,425968.0
2017-04-05,394426.0
2017-04-06,434524.0
2017-04-07,437862.0
2017-04-10,457196.0
2017-04-11,447272.0
2017-04-12,463564.0
2017-04-13,443944.0
2017-04-14,505976.0
2017-04-17,501382.0
2017-04-18,500196.0
2017-04-19,504838.0
2017-04-20,489720.0
2017-04-21,483038.0
2017-04-24,498372.0
2017-04-25,513076.0
2017-04-26,483564.0
2017-04-27,489540.0
2017-04-28,449088.0
2017-05-02,439750.0
2017-05-03,451110.0
2017-05-04,462292.0
2017-05-05,452364.0
2017-05-08,461280.0
2017-05-09,466662.0
2017-05-10,477956.0
2017-05-11,456770.0
2017-05-12,469848.0
2017-05-15,543260.0
2017-05-16,547262.0
2017-05-17,525700.0
2017-05-18,552896.0
