trading_date,V_total_oi
2017-02-22,144184.0
2017-02-23,140544.0
2017-02-24,132166.0
2017-02-27,127378.0
2017-02-28,132500.0
2017-03-01,135482.0
2017-03-02,137074.0
2017-03-03,143066.0
2017-03-06,143980.0
2017-03-07,140482.0
2017-03-08,136390.0
2017-03-09,139558.0
2017-03-10,140500.0
2017-03-13,141746.0
2017-03-14,150452.0
2017-03-15,145610.0
2017-03-16,153360.0
2017-03-17,154440.0
2017-03-20,141632.0
2017-03-21,128240.0
2017-03-22,122624.0
2017-03-23,132554.0
2017-03-24,132086.0
2017-03-27,142302.0
2017-03-28,135626.0
2017-03-29,130432.0
2017-03-30,131942.0
2017-03-31,148948.0
2017-04-05,124022.0
2017-04-06,122070.0
2017-04-07,141642.0
2017-04-10,146442.0
2017-04-11,133374.0
2017-04-12,143496.0
2017-04-13,165700.0
2017-04-14,179786.0
2017-04-17,184100.0
2017-04-18,186484.0
2017-04-19,191802.0
2017-04-20,191290.0
2017-04-21,163728.0
2017-04-24,162470.0
2017-04-25,160734.0
2017-04-26,162820.0
2017-04-27,159620.0
2017-04-28,156038.0
2017-05-02,147236.0
2017-05-03,147836.0
2017-05-04,146712.0
2017-05-05,147292.0
2017-05-08,147388.0
2017-05-09,154620.0
2017-05-10,147740.0
2017-05-11,142628.0
2017-05-12,133408.0
2017-05-15,141428.0
2017-05-16,138336.0
2017-05-17,134050.0
2017-05-18,158072.0
2017-05-19,155746.0
2017-05-22,147460.0
2017-05-23,147526.0
2017-05-24,134808.0
2017-05-25,138780.0
2017-05-26,134272.0
2017-05-31,141904.0
2017-06-01,173192.0
2017-06-02,148798.0
2017-06-05,146794.0
2017-06-06,152140.0
2017-06-07,150980.0
2017-06-08,146718.0
2017-06-09,144900.0
2017-06-12,159510.0
2017-06-13,156186.0
2017-06-14,153256.0
2017-06-15,163588.0
2017-06-16,170490.0
2017-06-19,183410.0
2017-06-20,188078.0
2017-06-21,182704.0
2017-06-22,179288.0
2017-06-23,199818.0
2017-06-26,202958.0
2017-06-27,219222.0
2017-06-28,215728.0
2017-06-29,241950.0
2017-06-30,251904.0
2017-07-03,248402.0
2017-07-04,245010.0
2017-07-05,271592.0
2017-07-06,283470.0
2017-07-07,279628.0
2017-07-10,279678.0
2017-07-11,280264.0
2017-07-12,271374.0
2017-07-13,266436.0
2017-07-14,260228.0
2017-07-17,250764.0
2017-07-18,260944.0
2017-07-19,274594.0
2017-07-20,250296.0
2017-07-21,242014.0
2017-07-24,238736.0
2017-07-25,242720.0
2017-07-26,234020.0
2017-07-27,257580.0
2017-07-28,244812.0
2017-07-31,236678.0
2017-08-01,241096.0
2017-08-02,275762.0
2017-08-03,265878.0
2017-08-04,282786.0
2017-08-07,279824.0
2017-08-08,300916.0
2017-08-09,299458.0
2017-08-10,312444.0
2017-08-11,271414.0
2017-08-14,269998.0
2017-08-15,247718.0
2017-08-16,237732.0
2017-08-17,228094.0
2017-08-18,242326.0
2017-08-21,233810.0
2017-08-22,221150.0
2017-08-23,214320.0
2017-08-24,208476.0
2017-08-25,215212.0
2017-08-28,242940.0
2017-08-29,230450.0
2017-08-30,234546.0
2017-08-31,252272.0
2017-09-01,277150.0
2017-09-04,251818.0
2017-09-05,261738.0
2017-09-06,265582.0
2017-09-07,277078.0
2017-09-08,286710.0
2017-09-11,274504.0
2017-09-12,264906.0
2017-09-13,290842.0
2017-09-14,273536.0
2017-09-15,261932.0
2017-09-18,253502.0
2017-09-19,255622.0
2017-09-20,260274.0
2017-09-21,267272.0
2017-09-22,252334.0
2017-09-25,245406.0
2017-09-26,239442.0
2017-09-27,230590.0
2017-09-28,217714.0
2017-09-29,209736.0
2017-10-09,218934.0
2017-10-10,241810.0
2017-10-11,232806.0
2017-10-12,248502.0
2017-10-13,241708.0
2017-10-16,270682.0
2017-10-17,284192.0
2017-10-18,280514.0
2017-10-19,262654.0
2017-10-20,280098.0
2017-10-23,279060.0
2017-10-24,286346.0
2017-10-25,280234.0
2017-10-26,285304.0
2017-10-27,272400.0
2017-10-30,289340.0
2017-10-31,268026.0
2017-11-01,265728.0
2017-11-02,270890.0
2017-11-03,278284.0
2017-11-06,282838.0
2017-11-07,311100.0
2017-11-08,312360.0
2017-11-09,331528.0
2017-11-10,325668.0
2017-11-13,335258.0
2017-11-14,343214.0
