trading_date,HC_total_oi
2018-05-17,692418.0
2018-05-18,655268.0
2018-05-21,651482.0
2018-05-22,666440.0
2018-05-23,667104.0
2018-05-24,714442.0
2018-05-25,722548.0
2018-05-28,741922.0
2018-05-29,809804.0
2018-05-30,856464.0
2018-05-31,882646.0
2018-06-01,868036.0
2018-06-04,852472.0
2018-06-05,844942.0
2018-06-06,819512.0
2018-06-07,811090.0
2018-06-08,801688.0
2018-06-11,817230.0
2018-06-12,809580.0
2018-06-13,784520.0
2018-06-14,801950.0
2018-06-15,814404.0
2018-06-19,779906.0
2018-06-20,774780.0
2018-06-21,764506.0
2018-06-22,761796.0
2018-06-25,751644.0
2018-06-26,725812.0
2018-06-27,753446.0
2018-06-28,715718.0
2018-06-29,685652.0
2018-07-02,676070.0
2018-07-03,662466.0
2018-07-04,671234.0
2018-07-05,681066.0
2018-07-06,683984.0
2018-07-09,673436.0
2018-07-10,668994.0
2018-07-11,659040.0
2018-07-12,712392.0
2018-07-13,720086.0
2018-07-16,752138.0
2018-07-17,754606.0
2018-07-18,751564.0
2018-07-19,753962.0
2018-07-20,757220.0
2018-07-23,749186.0
2018-07-24,734846.0
2018-07-25,750864.0
2018-07-26,764184.0
2018-07-27,779858.0
2018-07-30,755912.0
2018-07-31,768460.0
2018-08-01,734876.0
2018-08-02,720438.0
2018-08-03,720088.0
2018-08-06,719354.0
2018-08-07,735418.0
2018-08-08,753146.0
2018-08-09,768026.0
2018-08-10,753376.0
2018-08-13,756422.0
2018-08-14,762002.0
2018-08-15,760648.0
2018-08-16,761190.0
2018-08-17,762070.0
2018-08-20,781736.0
2018-08-21,784766.0
2018-08-22,769210.0
2018-08-23,746176.0
2018-08-24,761276.0
2018-08-27,697342.0
2018-08-28,702350.0
2018-08-29,684442.0
2018-08-30,660930.0
2018-08-31,675606.0
2018-09-03,647958.0
2018-09-04,673190.0
2018-09-05,665894.0
2018-09-06,666830.0
2018-09-07,689392.0
2018-09-10,696392.0
2018-09-11,758364.0
2018-09-12,732512.0
2018-09-13,707900.0
2018-09-14,710452.0
2018-09-17,775202.0
2018-09-18,765370.0
2018-09-19,791912.0
2018-09-20,800266.0
2018-09-21,740994.0
2018-09-25,738642.0
2018-09-26,763580.0
2018-09-27,737996.0
2018-09-28,660416.0
2018-10-08,677848.0
2018-10-09,682690.0
2018-10-10,703506.0
2018-10-11,740802.0
2018-10-12,768808.0
2018-10-15,795662.0
2018-10-16,778130.0
2018-10-17,809814.0
2018-10-18,887262.0
2018-10-19,872278.0
2018-10-22,890430.0
2018-10-23,915834.0
2018-10-24,873834.0
2018-10-25,860412.0
2018-10-26,867464.0
2018-10-29,889168.0
2018-10-30,855392.0
2018-10-31,944836.0
2018-11-01,1076314.0
2018-11-02,1001490.0
2018-11-05,981764.0
2018-11-06,963918.0
2018-11-07,958948.0
2018-11-08,972006.0
2018-11-09,1019026.0
2018-11-12,991332.0
2018-11-13,990034.0
2018-11-14,1016060.0
2018-11-15,1006746.0
2018-11-16,979986.0
2018-11-19,956366.0
2018-11-20,931326.0
2018-11-21,867662.0
2018-11-22,834586.0
2018-11-23,872338.0
2018-11-26,891900.0
2018-11-27,878856.0
2018-11-28,891366.0
2018-11-29,905488.0
2018-11-30,894542.0
2018-12-03,832934.0
2018-12-04,796846.0
2018-12-05,771044.0
2018-12-06,773712.0
2018-12-07,752412.0
2018-12-10,760594.0
2018-12-11,772998.0
2018-12-12,788640.0
2018-12-13,789666.0
2018-12-14,761952.0
2018-12-17,751352.0
2018-12-18,757146.0
2018-12-19,804986.0
2018-12-20,761918.0
2018-12-21,764696.0
2018-12-24,754304.0
2018-12-25,722266.0
2018-12-26,717594.0
2018-12-27,755626.0
2018-12-28,694096.0
2019-01-02,731178.0
2019-01-03,711662.0
2019-01-04,700186.0
2019-01-07,715962.0
2019-01-08,732126.0
2019-01-09,741212.0
2019-01-10,740570.0
2019-01-11,740340.0
2019-01-14,762898.0
2019-01-15,767088.0
2019-01-16,766808.0
2019-01-17,783030.0
2019-01-18,798396.0
2019-01-21,780742.0
2019-01-22,746730.0
2019-01-23,756910.0
2019-01-24,766586.0
2019-01-25,763074.0
2019-01-28,737000.0
2019-01-29,721480.0
2019-01-30,668944.0
2019-01-31,642154.0
2019-02-01,614438.0
2019-02-11,651408.0
2019-02-12,684374.0
2019-02-13,713696.0
2019-02-14,698656.0
2019-02-15,723086.0
2019-02-18,694332.0
2019-02-19,676194.0
2019-02-20,703620.0
2019-02-21,720668.0
2019-02-22,709420.0
2019-02-25,724026.0
2019-02-26,780806.0
2019-02-27,810522.0
2019-02-28,842638.0
2019-03-01,844662.0
2019-03-04,808880.0
2019-03-05,813956.0
2019-03-06,818156.0
2019-03-07,797844.0
2019-03-08,782794.0
2019-03-11,774884.0
2019-03-12,787314.0
2019-03-13,761540.0
2019-03-14,790036.0
2019-03-15,853726.0
2019-03-18,803612.0
2019-03-19,823128.0
2019-03-20,804934.0
2019-03-21,799170.0
2019-03-22,779790.0
2019-03-25,821010.0
2019-03-26,822992.0
2019-03-27,808480.0
2019-03-28,803170.0
2019-03-29,772722.0
2019-04-01,753508.0
2019-04-02,758104.0
2019-04-03,724876.0
2019-04-04,727930.0
2019-04-08,711370.0
2019-04-09,720544.0
2019-04-10,735884.0
2019-04-11,725076.0
2019-04-12,695668.0
2019-04-15,699290.0
2019-04-16,673650.0
2019-04-17,650378.0
2019-04-18,647050.0
2019-04-19,631604.0
2019-04-22,615508.0
2019-04-23,612262.0
2019-04-24,608252.0
2019-04-25,586886.0
2019-04-26,582948.0
2019-04-29,580162.0
2019-04-30,617308.0
2019-05-06,584018.0
2019-05-07,622630.0
2019-05-08,620952.0
2019-05-09,600280.0
2019-05-10,595202.0
2019-05-13,622118.0
2019-05-14,631934.0
2019-05-15,623298.0
2019-05-16,654060.0
2019-05-17,628622.0
2019-05-20,713124.0
2019-05-21,721526.0
2019-05-22,733558.0
2019-05-23,739492.0
2019-05-24,748094.0
2019-05-27,756334.0
2019-05-28,788450.0
2019-05-29,799494.0
2019-05-30,831720.0
2019-05-31,853760.0
2019-06-03,884774.0
2019-06-04,886606.0
2019-06-05,903000.0
