trading_date,NI_total_oi
2018-10-18,449798.0
2018-10-19,414468.0
2018-10-22,398494.0
2018-10-23,411634.0
2018-10-24,402958.0
2018-10-25,434638.0
2018-10-26,501126.0
2018-10-29,476578.0
2018-10-30,488156.0
2018-10-31,504856.0
2018-11-01,514296.0
2018-11-02,467054.0
2018-11-05,498286.0
2018-11-06,473408.0
2018-11-07,474594.0
2018-11-08,478468.0
2018-11-09,512380.0
2018-11-12,541912.0
2018-11-13,512648.0
2018-11-14,531698.0
2018-11-15,510948.0
2018-11-16,527394.0
2018-11-19,564030.0
2018-11-20,561386.0
2018-11-21,591574.0
2018-11-22,635416.0
2018-11-23,646508.0
2018-11-26,567332.0
2018-11-27,572440.0
2018-11-28,558422.0
2018-11-29,546964.0
2018-11-30,538258.0
2018-12-03,506900.0
2018-12-04,502996.0
2018-12-05,524314.0
2018-12-06,517086.0
2018-12-07,536256.0
2018-12-10,537080.0
2018-12-11,544372.0
2018-12-12,555932.0
2018-12-13,562892.0
2018-12-14,556884.0
2018-12-17,562734.0
2018-12-18,543092.0
2018-12-19,539530.0
2018-12-20,517942.0
2018-12-21,520798.0
2018-12-24,508732.0
2018-12-25,497676.0
2018-12-26,532896.0
2018-12-27,535276.0
2018-12-28,521484.0
2019-01-02,561678.0
2019-01-03,503918.0
2019-01-04,483278.0
2019-01-07,476526.0
2019-01-08,466144.0
2019-01-09,451828.0
2019-01-10,444244.0
2019-01-11,455124.0
2019-01-14,454996.0
2019-01-15,454722.0
2019-01-16,483112.0
2019-01-17,459082.0
2019-01-18,456732.0
2019-01-21,451370.0
2019-01-22,445038.0
2019-01-23,437962.0
2019-01-24,439074.0
2019-01-25,432396.0
2019-01-28,417028.0
2019-01-29,412886.0
2019-01-30,446644.0
2019-01-31,419324.0
2019-02-01,388658.0
2019-02-11,396370.0
2019-02-12,418200.0
2019-02-13,432718.0
2019-02-14,433278.0
2019-02-15,446502.0
2019-02-18,448736.0
2019-02-19,466914.0
2019-02-20,477202.0
2019-02-21,478628.0
2019-02-22,483284.0
2019-02-25,468006.0
2019-02-26,453962.0
2019-02-27,469340.0
2019-02-28,466726.0
2019-03-01,461640.0
2019-03-04,459182.0
2019-03-05,471258.0
2019-03-06,478242.0
2019-03-07,445258.0
2019-03-08,430754.0
2019-03-11,417550.0
2019-03-12,413336.0
2019-03-13,424980.0
2019-03-14,419794.0
2019-03-15,423778.0
2019-03-18,436828.0
2019-03-19,438632.0
2019-03-20,445372.0
2019-03-21,449370.0
2019-03-22,426398.0
2019-03-25,467888.0
2019-03-26,484032.0
2019-03-27,503852.0
2019-03-28,528952.0
2019-03-29,525312.0
2019-04-01,521188.0
2019-04-02,510656.0
2019-04-03,523388.0
2019-04-04,499576.0
2019-04-08,506708.0
2019-04-09,508446.0
2019-04-10,510558.0
2019-04-11,503522.0
2019-04-12,512354.0
2019-04-15,504024.0
2019-04-16,528924.0
2019-04-17,535102.0
2019-04-18,615052.0
2019-04-19,623078.0
2019-04-22,627846.0
2019-04-23,654888.0
2019-04-24,659954.0
2019-04-25,648992.0
2019-04-26,618608.0
2019-04-29,592654.0
2019-04-30,558950.0
2019-05-06,570850.0
2019-05-07,568938.0
2019-05-08,570218.0
2019-05-09,599224.0
2019-05-10,581048.0
2019-05-13,576876.0
2019-05-14,570722.0
2019-05-15,566864.0
2019-05-16,554676.0
2019-05-17,551026.0
2019-05-20,573734.0
2019-05-21,569888.0
2019-05-22,560398.0
2019-05-23,592578.0
2019-05-24,578912.0
2019-05-27,557634.0
2019-05-28,549584.0
2019-05-29,553426.0
