trading_date,BU_total_oi
2020-02-19,370576.0
2020-02-20,368385.0
2020-02-21,371834.0
2020-02-24,371637.0
2020-02-25,410671.0
2020-02-26,423280.0
2020-02-27,409268.0
2020-02-28,410730.0
2020-03-02,410788.0
2020-03-03,393840.0
2020-03-04,403683.0
2020-03-05,424930.0
2020-03-06,437312.0
2020-03-09,431126.0
2020-03-10,469865.0
2020-03-11,589731.0
2020-03-12,617552.0
2020-03-13,581878.0
2020-03-16,596821.0
2020-03-17,591881.0
2020-03-18,589749.0
2020-03-19,577231.0
2020-03-20,566345.0
2020-03-23,602396.0
2020-03-24,596131.0
2020-03-25,642328.0
2020-03-26,739887.0
2020-03-27,749267.0
2020-03-30,780357.0
2020-03-31,788682.0
2020-04-01,762877.0
2020-04-02,761033.0
2020-04-03,781981.0
2020-04-07,776112.0
2020-04-08,797738.0
2020-04-09,808157.0
2020-04-10,803387.0
2020-04-13,757456.0
2020-04-14,787075.0
2020-04-15,807604.0
2020-04-16,806350.0
2020-04-17,816841.0
2020-04-20,812289.0
2020-04-21,809701.0
2020-04-22,805334.0
2020-04-23,788806.0
2020-04-24,706190.0
2020-04-27,710194.0
2020-04-28,694822.0
2020-04-29,649383.0
2020-04-30,626352.0
2020-05-06,619271.0
2020-05-07,637522.0
2020-05-08,631085.0
2020-05-11,642551.0
2020-05-12,656745.0
2020-05-13,660224.0
2020-05-14,646933.0
2020-05-15,642154.0
2020-05-18,641128.0
2020-05-19,638267.0
2020-05-20,641914.0
2020-05-21,639006.0
2020-05-22,597429.0
2020-05-25,627995.0
2020-05-26,653104.0
2020-05-27,643662.0
2020-05-28,600397.0
2020-05-29,598535.0
2020-06-01,613881.0
2020-06-02,593373.0
2020-06-03,603255.0
2020-06-04,585806.0
2020-06-05,579567.0
2020-06-08,585197.0
2020-06-09,590558.0
2020-06-10,579539.0
2020-06-11,589913.0
