trading_date,J_total_oi
2018-06-20,296538.0
2018-06-21,330780.0
2018-06-22,337292.0
2018-06-25,322964.0
2018-06-26,322936.0
2018-06-27,310526.0
2018-06-28,327094.0
2018-06-29,320764.0
2018-07-02,333916.0
2018-07-03,301458.0
2018-07-04,338614.0
2018-07-05,335812.0
2018-07-06,345962.0
2018-07-09,317800.0
2018-07-10,327412.0
2018-07-11,335376.0
2018-07-12,338850.0
2018-07-13,306420.0
2018-07-16,331998.0
2018-07-17,324656.0
2018-07-18,305496.0
2018-07-19,354378.0
2018-07-20,322774.0
2018-07-23,373322.0
2018-07-24,345040.0
2018-07-25,379250.0
2018-07-26,359772.0
2018-07-27,406738.0
2018-07-30,412240.0
2018-07-31,385778.0
2018-08-01,432336.0
2018-08-02,435026.0
