trading_date,CS_total_oi
2017-08-08,615286.0
2017-08-09,574740.0
2017-08-10,536298.0
2017-08-11,518666.0
2017-08-14,504402.0
2017-08-15,488666.0
2017-08-16,486958.0
2017-08-17,514214.0
2017-08-18,506622.0
2017-08-21,470396.0
2017-08-22,513896.0
2017-08-23,493454.0
2017-08-24,494598.0
2017-08-25,482632.0
2017-08-28,461630.0
2017-08-29,432174.0
2017-08-30,410916.0
2017-08-31,396722.0
2017-09-01,382140.0
2017-09-04,403376.0
2017-09-05,414816.0
2017-09-06,432738.0
2017-09-07,440600.0
2017-09-08,377678.0
2017-09-11,369814.0
2017-09-12,369996.0
2017-09-13,387388.0
2017-09-14,374026.0
2017-09-15,375372.0
2017-09-18,375892.0
2017-09-19,370400.0
2017-09-20,368918.0
2017-09-21,371220.0
2017-09-22,376226.0
2017-09-25,383098.0
2017-09-26,384860.0
2017-09-27,380214.0
2017-09-28,335112.0
2017-09-29,295284.0
2017-10-09,353208.0
2017-10-10,361520.0
2017-10-11,379768.0
2017-10-12,398840.0
2017-10-13,364632.0
2017-10-16,420734.0
2017-10-17,385258.0
2017-10-18,384664.0
2017-10-19,376056.0
2017-10-20,372302.0
2017-10-23,388824.0
2017-10-24,436444.0
2017-10-25,382296.0
2017-10-26,357310.0
2017-10-27,344164.0
2017-10-30,372540.0
2017-10-31,354844.0
2017-11-01,363428.0
2017-11-02,356424.0
2017-11-03,391708.0
2017-11-06,402716.0
2017-11-07,421046.0
2017-11-08,531372.0
2017-11-09,514222.0
2017-11-10,563460.0
2017-11-13,561770.0
2017-11-14,730028.0
2017-11-15,713950.0
2017-11-16,698558.0
2017-11-17,548372.0
2017-11-20,567322.0
2017-11-21,534068.0
2017-11-22,537822.0
2017-11-23,500888.0
2017-11-24,499096.0
2017-11-27,487232.0
2017-11-28,487148.0
2017-11-29,478622.0
2017-11-30,452348.0
2017-12-01,434286.0
2017-12-04,481624.0
2017-12-05,483144.0
2017-12-06,524282.0
2017-12-07,446712.0
2017-12-08,436374.0
2017-12-11,427702.0
2017-12-12,416000.0
2017-12-13,407386.0
2017-12-14,448518.0
2017-12-15,426080.0
2017-12-18,490186.0
2017-12-19,488890.0
2017-12-20,475930.0
2017-12-21,477882.0
2017-12-22,459470.0
2017-12-25,443238.0
2017-12-26,429640.0
2017-12-27,412440.0
2017-12-28,413302.0
2017-12-29,401506.0
2018-01-02,427648.0
2018-01-03,453600.0
2018-01-04,442430.0
2018-01-05,432042.0
2018-01-08,434358.0
2018-01-09,421918.0
2018-01-10,418586.0
2018-01-11,421512.0
2018-01-12,405888.0
2018-01-15,420756.0
2018-01-16,400332.0
2018-01-17,390106.0
2018-01-18,384942.0
2018-01-19,384068.0
2018-01-22,380672.0
2018-01-23,385008.0
2018-01-24,375104.0
2018-01-25,385384.0
2018-01-26,391884.0
2018-01-29,385078.0
2018-01-30,380244.0
2018-01-31,381762.0
2018-02-01,396346.0
2018-02-02,364246.0
2018-02-05,356582.0
2018-02-06,359182.0
2018-02-07,379466.0
2018-02-08,378608.0
2018-02-09,373224.0
2018-02-12,374902.0
2018-02-13,337756.0
2018-02-14,325046.0
2018-02-22,333842.0
2018-02-23,348056.0
2018-02-26,460050.0
2018-02-27,447464.0
2018-02-28,458028.0
2018-03-01,440634.0
2018-03-02,451292.0
2018-03-05,488500.0
2018-03-06,488094.0
2018-03-07,490626.0
2018-03-08,493474.0
2018-03-09,491288.0
2018-03-12,456272.0
2018-03-13,441436.0
2018-03-14,442040.0
2018-03-15,430352.0
2018-03-16,415982.0
2018-03-19,415466.0
2018-03-20,414900.0
2018-03-21,407060.0
2018-03-22,421620.0
2018-03-23,404904.0
2018-03-26,400536.0
2018-03-27,422178.0
2018-03-28,423302.0
2018-03-29,392458.0
2018-03-30,385742.0
2018-04-02,377312.0
2018-04-03,370792.0
2018-04-04,377996.0
2018-04-09,355106.0
2018-04-10,382866.0
2018-04-11,370688.0
2018-04-12,370142.0
2018-04-13,338686.0
2018-04-16,328940.0
2018-04-17,315274.0
2018-04-18,315198.0
2018-04-19,324988.0
2018-04-20,310486.0
2018-04-23,302218.0
2018-04-24,299016.0
2018-04-25,289136.0
2018-04-26,291308.0
2018-04-27,281468.0
2018-05-02,310742.0
2018-05-03,327084.0
2018-05-04,320748.0
2018-05-07,305186.0
2018-05-08,302840.0
2018-05-09,337516.0
2018-05-10,344672.0
2018-05-11,332902.0
2018-05-14,354012.0
2018-05-15,316630.0
2018-05-16,334932.0
2018-05-17,339476.0
2018-05-18,350558.0
2018-05-21,364986.0
2018-05-22,356358.0
2018-05-23,336144.0
2018-05-24,375820.0
2018-05-25,360514.0
2018-05-28,366062.0
2018-05-29,363266.0
2018-05-30,352604.0
2018-05-31,341030.0
2018-06-01,319252.0
2018-06-04,317992.0
2018-06-05,288646.0
2018-06-06,280304.0
2018-06-07,283302.0
2018-06-08,264946.0
2018-06-11,258146.0
2018-06-12,257986.0
2018-06-13,251970.0
2018-06-14,241072.0
2018-06-15,266582.0
2018-06-19,239496.0
2018-06-20,249676.0
2018-06-21,257750.0
2018-06-22,255772.0
2018-06-25,274618.0
2018-06-26,257876.0
2018-06-27,268586.0
2018-06-28,242590.0
2018-06-29,235396.0
2018-07-02,250444.0
2018-07-03,279962.0
2018-07-04,260412.0
2018-07-05,250528.0
2018-07-06,250236.0
2018-07-09,274816.0
2018-07-10,275576.0
2018-07-11,264704.0
2018-07-12,263914.0
2018-07-13,262918.0
2018-07-16,294650.0
2018-07-17,291204.0
2018-07-18,297216.0
2018-07-19,296784.0
2018-07-20,308672.0
2018-07-23,280646.0
2018-07-24,272482.0
2018-07-25,271574.0
2018-07-26,266238.0
2018-07-27,255208.0
2018-07-30,265336.0
2018-07-31,256822.0
2018-08-01,248612.0
2018-08-02,242582.0
2018-08-03,246382.0
2018-08-06,270506.0
2018-08-07,260248.0
2018-08-08,268152.0
2018-08-09,278916.0
2018-08-10,271588.0
2018-08-13,287432.0
2018-08-14,282216.0
2018-08-15,288794.0
2018-08-16,271586.0
2018-08-17,230486.0
2018-08-20,228704.0
2018-08-21,232162.0
2018-08-22,247436.0
2018-08-23,244880.0
2018-08-24,241338.0
2018-08-27,239198.0
2018-08-28,235298.0
2018-08-29,231314.0
2018-08-30,225820.0
2018-08-31,235830.0
2018-09-03,258698.0
2018-09-04,267004.0
2018-09-05,257024.0
2018-09-06,256298.0
2018-09-07,263022.0
2018-09-10,281320.0
2018-09-11,278538.0
2018-09-12,264528.0
2018-09-13,251200.0
2018-09-14,242122.0
2018-09-17,244062.0
2018-09-18,227248.0
2018-09-19,232010.0
2018-09-20,240946.0
2018-09-21,251774.0
2018-09-25,267856.0
2018-09-26,274916.0
2018-09-27,271876.0
2018-09-28,249702.0
2018-10-08,246462.0
2018-10-09,248872.0
2018-10-10,256356.0
2018-10-11,260506.0
2018-10-12,278954.0
2018-10-15,294156.0
2018-10-16,292488.0
2018-10-17,307606.0
2018-10-18,299288.0
2018-10-19,299996.0
2018-10-22,311516.0
2018-10-23,305612.0
2018-10-24,312398.0
2018-10-25,344042.0
2018-10-26,348278.0
2018-10-29,357546.0
2018-10-30,379396.0
2018-10-31,323164.0
2018-11-01,320510.0
2018-11-02,300004.0
2018-11-05,294160.0
2018-11-06,288496.0
2018-11-07,281544.0
2018-11-08,280602.0
2018-11-09,280176.0
2018-11-12,275040.0
2018-11-13,265682.0
2018-11-14,253810.0
2018-11-15,262230.0
2018-11-16,251578.0
2018-11-19,248358.0
2018-11-20,255192.0
2018-11-21,238090.0
2018-11-22,254762.0
2018-11-23,250020.0
2018-11-26,244924.0
2018-11-27,245156.0
2018-11-28,268586.0
2018-11-29,262018.0
2018-11-30,257828.0
2018-12-03,232206.0
2018-12-04,269592.0
2018-12-05,270526.0
2018-12-06,265012.0
2018-12-07,276146.0
2018-12-10,265404.0
2018-12-11,270148.0
2018-12-12,262190.0
2018-12-13,257710.0
2018-12-14,255540.0
2018-12-17,271144.0
2018-12-18,266374.0
2018-12-19,236046.0
2018-12-20,236582.0
2018-12-21,222438.0
2018-12-24,252928.0
2018-12-25,233004.0
2018-12-26,213904.0
2018-12-27,206116.0
2018-12-28,193532.0
2019-01-02,187844.0
2019-01-03,184634.0
2019-01-04,193576.0
2019-01-07,207922.0
2019-01-08,248912.0
2019-01-09,252384.0
2019-01-10,263432.0
2019-01-11,273406.0
2019-01-14,277772.0
2019-01-15,277612.0
2019-01-16,265640.0
2019-01-17,269836.0
2019-01-18,270328.0
2019-01-21,247174.0
2019-01-22,233762.0
2019-01-23,228608.0
2019-01-24,222774.0
2019-01-25,207998.0
2019-01-28,194160.0
2019-01-29,193482.0
2019-01-30,195660.0
2019-01-31,194508.0
2019-02-01,183358.0
2019-02-11,188768.0
2019-02-12,206186.0
2019-02-13,208216.0
2019-02-14,205710.0
2019-02-15,207306.0
2019-02-18,224156.0
2019-02-19,227050.0
2019-02-20,239354.0
2019-02-21,248578.0
2019-02-22,268890.0
2019-02-25,280860.0
2019-02-26,274874.0
2019-02-27,277158.0
2019-02-28,261746.0
2019-03-01,250536.0
2019-03-04,252940.0
2019-03-05,252770.0
2019-03-06,234088.0
2019-03-07,222522.0
2019-03-08,220936.0
2019-03-11,218528.0
2019-03-12,222642.0
2019-03-13,242532.0
2019-03-14,248642.0
2019-03-15,250974.0
2019-03-18,251448.0
2019-03-19,249966.0
2019-03-20,248154.0
2019-03-21,255098.0
2019-03-22,254534.0
2019-03-25,242760.0
2019-03-26,242530.0
2019-03-27,238740.0
2019-03-28,245726.0
2019-03-29,241270.0
2019-04-01,228780.0
2019-04-02,216252.0
2019-04-03,218534.0
2019-04-04,199702.0
2019-04-08,204568.0
2019-04-09,198772.0
2019-04-10,199258.0
2019-04-11,204680.0
2019-04-12,202378.0
2019-04-15,208184.0
2019-04-16,208362.0
2019-04-17,200940.0
2019-04-18,197828.0
2019-04-19,211502.0
2019-04-22,211076.0
2019-04-23,210864.0
2019-04-24,206648.0
2019-04-25,204820.0
2019-04-26,177898.0
2019-04-29,178046.0
2019-04-30,176138.0
2019-05-06,166230.0
2019-05-07,173784.0
2019-05-08,162374.0
2019-05-09,169046.0
2019-05-10,161978.0
2019-05-13,173226.0
2019-05-14,176666.0
2019-05-15,187594.0
2019-05-16,197902.0
2019-05-17,197454.0
2019-05-20,201378.0
2019-05-21,205928.0
2019-05-22,199370.0
2019-05-23,195910.0
2019-05-24,194158.0
2019-05-27,210472.0
2019-05-28,208706.0
2019-05-29,204914.0
2019-05-30,189182.0
2019-05-31,177432.0
2019-06-03,162610.0
2019-06-04,162750.0
2019-06-05,161238.0
2019-06-06,154224.0
2019-06-10,149448.0
2019-06-11,155932.0
2019-06-12,167912.0
2019-06-13,165856.0
2019-06-14,177070.0
2019-06-17,171784.0
2019-06-18,163400.0
2019-06-19,172020.0
2019-06-20,175536.0
2019-06-21,168946.0
2019-06-24,164576.0
2019-06-25,165808.0
2019-06-26,174448.0
2019-06-27,172178.0
2019-06-28,159430.0
2019-07-01,150894.0
2019-07-02,166442.0
2019-07-03,154952.0
2019-07-04,153264.0
2019-07-05,191288.0
2019-07-08,194952.0
2019-07-09,203814.0
2019-07-10,209404.0
2019-07-11,217614.0
2019-07-12,219076.0
2019-07-15,218172.0
2019-07-16,220468.0
2019-07-17,227738.0
2019-07-18,220114.0
2019-07-19,224370.0
2019-07-22,256336.0
2019-07-23,241724.0
2019-07-24,216582.0
2019-07-25,205840.0
2019-07-26,197368.0
2019-07-29,193818.0
2019-07-30,187666.0
2019-07-31,181622.0
2019-08-01,182194.0
2019-08-02,175856.0
2019-08-05,181160.0
2019-08-06,170402.0
2019-08-07,166110.0
2019-08-08,181168.0
2019-08-09,192150.0
2019-08-12,186888.0
2019-08-13,191572.0
2019-08-14,195562.0
2019-08-15,204590.0
2019-08-16,200748.0
2019-08-19,210856.0
2019-08-20,212382.0
2019-08-21,203332.0
2019-08-22,211730.0
2019-08-23,208720.0
2019-08-26,192998.0
2019-08-27,196990.0
2019-08-28,190638.0
2019-08-29,208170.0
2019-08-30,213134.0
2019-09-02,225614.0
2019-09-03,231888.0
2019-09-04,238758.0
