trading_date,SR_total_oi
2017-10-31,1007980.0
2017-11-01,996886.0
2017-11-02,1002804.0
2017-11-03,1000902.0
2017-11-06,996992.0
2017-11-07,1009406.0
2017-11-08,1037324.0
2017-11-09,1084564.0
2017-11-10,1068848.0
2017-11-13,1085506.0
2017-11-14,1084936.0
2017-11-15,1080448.0
2017-11-16,1066542.0
2017-11-17,1052862.0
2017-11-20,1062616.0
2017-11-21,1077924.0
2017-11-22,1088814.0
2017-11-23,1073824.0
2017-11-24,1068944.0
2017-11-27,1068438.0
2017-11-28,1076390.0
2017-11-29,1056918.0
2017-11-30,997166.0
2017-12-01,992666.0
2017-12-04,1006352.0
2017-12-05,984438.0
2017-12-06,989602.0
2017-12-07,982270.0
2017-12-08,998816.0
2017-12-11,984916.0
2017-12-12,974580.0
2017-12-13,897748.0
2017-12-14,869882.0
2017-12-15,799550.0
2017-12-18,759428.0
2017-12-19,728814.0
2017-12-20,707686.0
2017-12-21,703486.0
2017-12-22,698340.0
2017-12-25,672042.0
2017-12-26,655538.0
2017-12-27,677318.0
2017-12-28,648254.0
2017-12-29,629276.0
2018-01-02,654080.0
2018-01-03,659742.0
2018-01-04,667616.0
2018-01-05,654728.0
2018-01-08,655568.0
2018-01-09,675050.0
2018-01-10,658300.0
2018-01-11,661658.0
2018-01-12,666516.0
2018-01-15,715570.0
2018-01-16,658198.0
2018-01-17,660142.0
2018-01-18,684778.0
2018-01-19,690330.0
2018-01-22,717806.0
2018-01-23,719500.0
2018-01-24,703306.0
2018-01-25,689866.0
2018-01-26,719126.0
2018-01-29,734934.0
2018-01-30,732876.0
2018-01-31,703598.0
2018-02-01,702786.0
2018-02-02,694160.0
2018-02-05,693010.0
2018-02-06,689128.0
2018-02-07,684872.0
2018-02-08,664804.0
2018-02-09,661000.0
2018-02-12,636864.0
2018-02-13,605252.0
2018-02-14,595774.0
2018-02-22,606966.0
2018-02-23,617414.0
2018-02-26,640306.0
2018-02-27,656410.0
2018-02-28,653180.0
2018-03-01,658732.0
2018-03-02,651554.0
2018-03-05,662054.0
2018-03-06,688030.0
2018-03-07,703318.0
2018-03-08,699234.0
2018-03-09,701788.0
2018-03-12,677708.0
2018-03-13,674706.0
2018-03-14,676722.0
2018-03-15,664268.0
2018-03-16,663364.0
2018-03-19,644350.0
2018-03-20,649242.0
2018-03-21,654608.0
2018-03-22,651768.0
2018-03-23,625594.0
2018-03-26,646608.0
2018-03-27,645370.0
2018-03-28,660802.0
2018-03-29,677994.0
2018-03-30,681958.0
2018-04-02,661608.0
2018-04-03,670252.0
2018-04-04,655748.0
2018-04-09,654770.0
2018-04-10,669758.0
2018-04-11,670146.0
2018-04-12,672874.0
2018-04-13,662340.0
2018-04-16,679230.0
2018-04-17,696242.0
2018-04-18,709548.0
2018-04-19,703570.0
2018-04-20,709850.0
2018-04-23,709698.0
2018-04-24,709066.0
2018-04-25,741672.0
2018-04-26,733980.0
2018-04-27,700080.0
2018-05-02,703348.0
2018-05-03,720710.0
2018-05-04,724434.0
2018-05-07,736826.0
2018-05-08,742916.0
2018-05-09,741672.0
2018-05-10,740072.0
2018-05-11,737998.0
2018-05-14,730900.0
2018-05-15,742816.0
2018-05-16,739706.0
2018-05-17,764198.0
2018-05-18,764016.0
2018-05-21,775372.0
2018-05-22,803174.0
