trading_date,JM_total_oi
2018-01-26,258640.0
2018-01-29,287272.0
2018-01-30,266694.0
2018-01-31,288130.0
2018-02-01,264962.0
2018-02-02,305808.0
2018-02-05,316280.0
2018-02-06,291126.0
2018-02-07,276942.0
2018-02-08,289596.0
2018-02-09,276824.0
2018-02-12,263272.0
2018-02-13,248534.0
2018-02-14,232274.0
2018-02-22,244588.0
2018-02-23,287820.0
2018-02-26,327598.0
2018-02-27,337438.0
2018-02-28,351226.0
2018-03-01,347814.0
2018-03-02,319078.0
2018-03-05,323998.0
2018-03-06,314712.0
2018-03-07,312378.0
2018-03-08,305100.0
2018-03-09,304648.0
2018-03-12,308478.0
2018-03-13,329984.0
2018-03-14,354564.0
2018-03-15,324638.0
2018-03-16,320120.0
2018-03-19,367860.0
2018-03-20,345990.0
2018-03-21,361332.0
2018-03-22,356548.0
2018-03-23,412078.0
2018-03-26,396418.0
2018-03-27,383180.0
2018-03-28,392612.0
2018-03-29,454694.0
2018-03-30,393932.0
2018-04-02,359118.0
2018-04-03,329900.0
2018-04-04,318736.0
2018-04-09,299792.0
2018-04-10,300334.0
2018-04-11,319650.0
2018-04-12,331986.0
2018-04-13,330904.0
2018-04-16,354036.0
2018-04-17,327660.0
2018-04-18,313170.0
2018-04-19,323120.0
2018-04-20,299980.0
2018-04-23,338668.0
2018-04-24,307584.0
2018-04-25,321072.0
2018-04-26,290132.0
2018-04-27,287442.0
2018-05-02,279774.0
2018-05-03,284696.0
2018-05-04,306730.0
2018-05-07,371160.0
2018-05-08,345436.0
2018-05-09,340662.0
2018-05-10,306856.0
2018-05-11,333786.0
2018-05-14,310034.0
2018-05-15,361066.0
2018-05-16,328556.0
2018-05-17,342794.0
2018-05-18,328650.0
2018-05-21,318460.0
2018-05-22,308078.0
2018-05-23,319600.0
2018-05-24,280118.0
2018-05-25,301042.0
2018-05-28,306922.0
2018-05-29,306880.0
2018-05-30,312898.0
2018-05-31,300388.0
2018-06-01,300138.0
2018-06-04,289650.0
2018-06-05,278574.0
2018-06-06,267438.0
2018-06-07,264452.0
2018-06-08,253934.0
2018-06-11,243538.0
2018-06-12,277994.0
2018-06-13,272274.0
2018-06-14,304446.0
2018-06-15,281924.0
2018-06-19,285462.0
2018-06-20,258698.0
2018-06-21,269754.0
2018-06-22,282502.0
2018-06-25,259986.0
2018-06-26,253956.0
2018-06-27,246198.0
2018-06-28,249118.0
2018-06-29,248080.0
2018-07-02,279238.0
2018-07-03,252782.0
2018-07-04,280636.0
2018-07-05,267314.0
2018-07-06,275826.0
2018-07-09,261522.0
2018-07-10,282316.0
2018-07-11,291034.0
2018-07-12,274812.0
2018-07-13,281558.0
2018-07-16,284804.0
2018-07-17,284256.0
2018-07-18,270618.0
2018-07-19,271844.0
2018-07-20,242134.0
2018-07-23,248796.0
2018-07-24,259410.0
2018-07-25,270220.0
2018-07-26,249628.0
2018-07-27,286204.0
2018-07-30,291902.0
2018-07-31,264858.0
2018-08-01,264754.0
2018-08-02,263476.0
