trading_date,C_total_oi
2017-12-26,1360536.0
2017-12-27,1383060.0
2017-12-28,1332822.0
2017-12-29,1294084.0
2018-01-02,1296388.0
2018-01-03,1359168.0
2018-01-04,1352286.0
2018-01-05,1382830.0
2018-01-08,1422702.0
2018-01-09,1335468.0
2018-01-10,1380728.0
2018-01-11,1370842.0
2018-01-12,1372688.0
2018-01-15,1432168.0
2018-01-16,1392028.0
2018-01-17,1409618.0
2018-01-18,1367546.0
2018-01-19,1351638.0
2018-01-22,1326848.0
2018-01-23,1350318.0
2018-01-24,1291872.0
2018-01-25,1296774.0
2018-01-26,1253956.0
2018-01-29,1245092.0
2018-01-30,1232142.0
2018-01-31,1220936.0
2018-02-01,1263638.0
2018-02-02,1232500.0
2018-02-05,1324454.0
2018-02-06,1276182.0
2018-02-07,1287590.0
2018-02-08,1259070.0
2018-02-09,1289232.0
2018-02-12,1274818.0
2018-02-13,1213066.0
2018-02-14,1216748.0
2018-02-22,1258262.0
2018-02-23,1313454.0
2018-02-26,1483758.0
2018-02-27,1478730.0
2018-02-28,1528938.0
2018-03-01,1540814.0
2018-03-02,1657750.0
2018-03-05,1718448.0
2018-03-06,1836170.0
2018-03-07,1816406.0
2018-03-08,1831616.0
2018-03-09,1841864.0
2018-03-12,1813532.0
2018-03-13,1816704.0
2018-03-14,1820544.0
2018-03-15,1853508.0
2018-03-16,1875786.0
2018-03-19,1837628.0
2018-03-20,1841268.0
2018-03-21,1895140.0
2018-03-22,1887648.0
2018-03-23,1847026.0
2018-03-26,1857622.0
2018-03-27,1844902.0
2018-03-28,1806092.0
2018-03-29,1808906.0
2018-03-30,1822896.0
2018-04-02,1808046.0
2018-04-03,1777650.0
2018-04-04,1827484.0
2018-04-09,1782878.0
2018-04-10,1716818.0
2018-04-11,1709650.0
2018-04-12,1659764.0
2018-04-13,1645004.0
2018-04-16,1637420.0
2018-04-17,1623408.0
2018-04-18,1634910.0
2018-04-19,1635152.0
2018-04-20,1612458.0
2018-04-23,1594684.0
2018-04-24,1572916.0
2018-04-25,1552418.0
2018-04-26,1529514.0
2018-04-27,1447068.0
2018-05-02,1329062.0
2018-05-03,1276480.0
2018-05-04,1257176.0
2018-05-07,1260686.0
2018-05-08,1234394.0
2018-05-09,1253138.0
2018-05-10,1242682.0
2018-05-11,1235282.0
2018-05-14,1241726.0
