trading_date,PB_total_oi
2018-11-23,107050.0
2018-11-26,105562.0
2018-11-27,112044.0
2018-11-28,110152.0
2018-11-29,106410.0
2018-11-30,105356.0
2018-12-03,105386.0
2018-12-04,102098.0
2018-12-05,102452.0
2018-12-06,102626.0
2018-12-07,100060.0
2018-12-10,99060.0
2018-12-11,98528.0
2018-12-12,98310.0
2018-12-13,97930.0
2018-12-14,98398.0
2018-12-17,99160.0
2018-12-18,98464.0
2018-12-19,94884.0
2018-12-20,97118.0
2018-12-21,97420.0
2018-12-24,101262.0
2018-12-25,102214.0
2018-12-26,106408.0
2018-12-27,101882.0
2018-12-28,96054.0
2019-01-02,96946.0
2019-01-03,102712.0
2019-01-04,105846.0
2019-01-07,112904.0
2019-01-08,118664.0
2019-01-09,116324.0
2019-01-10,116516.0
2019-01-11,115248.0
2019-01-14,115822.0
2019-01-15,115202.0
2019-01-16,101110.0
2019-01-17,98188.0
2019-01-18,94884.0
2019-01-21,93764.0
2019-01-22,88854.0
2019-01-23,86632.0
2019-01-24,85138.0
2019-01-25,80110.0
2019-01-28,75790.0
2019-01-29,69202.0
2019-01-30,68056.0
2019-01-31,66586.0
2019-02-01,64034.0
2019-02-11,72892.0
2019-02-12,78460.0
2019-02-13,82434.0
2019-02-14,81640.0
2019-02-15,81720.0
2019-02-18,75772.0
2019-02-19,78438.0
2019-02-20,82842.0
2019-02-21,87354.0
2019-02-22,80806.0
2019-02-25,79656.0
2019-02-26,81016.0
2019-02-27,80644.0
2019-02-28,79950.0
2019-03-01,77612.0
2019-03-04,73572.0
2019-03-05,71292.0
2019-03-06,69562.0
2019-03-07,72186.0
2019-03-08,71904.0
2019-03-11,72248.0
2019-03-12,73304.0
2019-03-13,72806.0
2019-03-14,73922.0
2019-03-15,72832.0
2019-03-18,70048.0
2019-03-19,72480.0
2019-03-20,71608.0
2019-03-21,67876.0
2019-03-22,67380.0
2019-03-25,69196.0
2019-03-26,71712.0
2019-03-27,70478.0
2019-03-28,70652.0
2019-03-29,71202.0
2019-04-01,69056.0
2019-04-02,70274.0
2019-04-03,71794.0
2019-04-04,71978.0
2019-04-08,72226.0
2019-04-09,72120.0
2019-04-10,80750.0
2019-04-11,92396.0
2019-04-12,98810.0
2019-04-15,97428.0
2019-04-16,94078.0
2019-04-17,91940.0
2019-04-18,90322.0
2019-04-19,88036.0
2019-04-22,83340.0
2019-04-23,86226.0
2019-04-24,87014.0
2019-04-25,85692.0
2019-04-26,84588.0
2019-04-29,84840.0
2019-04-30,82160.0
2019-05-06,82860.0
2019-05-07,84466.0
2019-05-08,88758.0
2019-05-09,90906.0
2019-05-10,91982.0
2019-05-13,98966.0
2019-05-14,99594.0
2019-05-15,98256.0
2019-05-16,95590.0
2019-05-17,89976.0
2019-05-20,90944.0
2019-05-21,93148.0
2019-05-22,92894.0
2019-05-23,92164.0
2019-05-24,88936.0
2019-05-27,90738.0
2019-05-28,94728.0
2019-05-29,93170.0
2019-05-30,89386.0
2019-05-31,90032.0
2019-06-03,87468.0
2019-06-04,87498.0
2019-06-05,86094.0
2019-06-06,84274.0
2019-06-10,82182.0
2019-06-11,83646.0
2019-06-12,88894.0
2019-06-13,87768.0
2019-06-14,88472.0
2019-06-17,88894.0
2019-06-18,85014.0
2019-06-19,85968.0
2019-06-20,88796.0
2019-06-21,91212.0
2019-06-24,87040.0
2019-06-25,85382.0
2019-06-26,85876.0
2019-06-27,86856.0
2019-06-28,88684.0
2019-07-01,83274.0
2019-07-02,82728.0
2019-07-03,84246.0
2019-07-04,84496.0
2019-07-05,89312.0
2019-07-08,92890.0
2019-07-09,104890.0
2019-07-10,99362.0
2019-07-11,95880.0
