trading_date,CF_total_oi
2017-08-09,291282.0
2017-08-10,309466.0
2017-08-11,286814.0
2017-08-14,293124.0
2017-08-15,290646.0
2017-08-16,281462.0
2017-08-17,286896.0
2017-08-18,290330.0
2017-08-21,298692.0
2017-08-22,319446.0
2017-08-23,316628.0
2017-08-24,312146.0
2017-08-25,312140.0
2017-08-28,313604.0
2017-08-29,311076.0
2017-08-30,306808.0
2017-08-31,304206.0
2017-09-01,303676.0
2017-09-04,379570.0
2017-09-05,397602.0
2017-09-06,394042.0
2017-09-07,391594.0
2017-09-08,353396.0
2017-09-11,354644.0
2017-09-12,357664.0
2017-09-13,348912.0
2017-09-14,339506.0
2017-09-15,319368.0
2017-09-18,311382.0
2017-09-19,307058.0
2017-09-20,311436.0
2017-09-21,297270.0
2017-09-22,294688.0
2017-09-25,291330.0
2017-09-26,303104.0
2017-09-27,288964.0
2017-09-28,269974.0
2017-09-29,261612.0
2017-10-09,264016.0
2017-10-10,269034.0
2017-10-11,269956.0
2017-10-12,279254.0
2017-10-13,284394.0
2017-10-16,273652.0
2017-10-17,270022.0
2017-10-18,272596.0
2017-10-19,285014.0
2017-10-20,307236.0
2017-10-23,312240.0
2017-10-24,301972.0
2017-10-25,299804.0
2017-10-26,300780.0
2017-10-27,305428.0
2017-10-30,305274.0
2017-10-31,305784.0
2017-11-01,299458.0
2017-11-02,296438.0
2017-11-03,273738.0
2017-11-06,272892.0
2017-11-07,270250.0
2017-11-08,266096.0
2017-11-09,268924.0
2017-11-10,262856.0
2017-11-13,275964.0
2017-11-14,279368.0
2017-11-15,266392.0
2017-11-16,264336.0
2017-11-17,267452.0
2017-11-20,280400.0
2017-11-21,292610.0
2017-11-22,302934.0
2017-11-23,303800.0
2017-11-24,304446.0
2017-11-27,289666.0
2017-11-28,284396.0
2017-11-29,278876.0
2017-11-30,288072.0
2017-12-01,322832.0
2017-12-04,337766.0
2017-12-05,328022.0
2017-12-06,337916.0
2017-12-07,324556.0
2017-12-08,367692.0
2017-12-11,333062.0
2017-12-12,325656.0
2017-12-13,323780.0
2017-12-14,331914.0
2017-12-15,333032.0
2017-12-18,328354.0
2017-12-19,373366.0
