trading_date,CU_total_oi
2018-03-20,871144.0
2018-03-21,892110.0
2018-03-22,893996.0
2018-03-23,882978.0
2018-03-26,876706.0
2018-03-27,880104.0
2018-03-28,879730.0
2018-03-29,881490.0
2018-03-30,873740.0
2018-04-02,866542.0
2018-04-03,856216.0
2018-04-04,841852.0
2018-04-09,863568.0
2018-04-10,864106.0
2018-04-11,844182.0
2018-04-12,844694.0
2018-04-13,841754.0
2018-04-16,838208.0
2018-04-17,804820.0
2018-04-18,800818.0
2018-04-19,813472.0
2018-04-20,810154.0
2018-04-23,813204.0
2018-04-24,798448.0
2018-04-25,782942.0
2018-04-26,774952.0
2018-04-27,772964.0
2018-05-02,780510.0
2018-05-03,785504.0
2018-05-04,777870.0
2018-05-07,773224.0
2018-05-08,775232.0
2018-05-09,777408.0
2018-05-10,772270.0
2018-05-11,765664.0
2018-05-14,755552.0
2018-05-15,748558.0
2018-05-16,713746.0
2018-05-17,707548.0
2018-05-18,699746.0
2018-05-21,719770.0
2018-05-22,715874.0
2018-05-23,719060.0
2018-05-24,713760.0
2018-05-25,715470.0
2018-05-28,710848.0
2018-05-29,709684.0
2018-05-30,730540.0
2018-05-31,707776.0
2018-06-01,693772.0
2018-06-04,704886.0
2018-06-05,718902.0
2018-06-06,746610.0
2018-06-07,769268.0
2018-06-08,773102.0
2018-06-11,775818.0
2018-06-12,767170.0
2018-06-13,749134.0
2018-06-14,748540.0
2018-06-15,738948.0
2018-06-19,664452.0
2018-06-20,660518.0
2018-06-21,659838.0
2018-06-22,665948.0
2018-06-25,661248.0
2018-06-26,663252.0
2018-06-27,659504.0
2018-06-28,658534.0
2018-06-29,660528.0
2018-07-02,669746.0
2018-07-03,669490.0
2018-07-04,691760.0
2018-07-05,671742.0
2018-07-06,669494.0
2018-07-09,668002.0
2018-07-10,673406.0
2018-07-11,661610.0
2018-07-12,644544.0
2018-07-13,635060.0
2018-07-16,643782.0
2018-07-17,618070.0
2018-07-18,632838.0
2018-07-19,609030.0
2018-07-20,617908.0
2018-07-23,609994.0
2018-07-24,601504.0
2018-07-25,588598.0
2018-07-26,588134.0
2018-07-27,589738.0
2018-07-30,587304.0
2018-07-31,569748.0
2018-08-01,567068.0
2018-08-02,575684.0
