trading_date,A_total_oi
2018-04-09,292972.0
2018-04-10,288842.0
2018-04-11,288774.0
2018-04-12,286810.0
2018-04-13,281542.0
2018-04-16,257366.0
2018-04-17,246582.0
2018-04-18,240520.0
2018-04-19,237714.0
2018-04-20,240300.0
2018-04-23,231562.0
2018-04-24,227984.0
2018-04-25,225628.0
2018-04-26,210130.0
2018-04-27,197466.0
2018-05-02,187608.0
2018-05-03,186278.0
2018-05-04,187730.0
2018-05-07,198360.0
2018-05-08,187790.0
2018-05-09,194850.0
2018-05-10,196480.0
2018-05-11,193598.0
2018-05-14,186270.0
2018-05-15,189994.0
2018-05-16,190622.0
2018-05-17,192322.0
2018-05-18,195536.0
2018-05-21,202358.0
2018-05-22,202682.0
2018-05-23,229788.0
2018-05-24,244670.0
2018-05-25,243348.0
2018-05-28,246958.0
2018-05-29,252712.0
2018-05-30,255108.0
2018-05-31,250630.0
2018-06-01,253556.0
2018-06-04,242550.0
2018-06-05,240182.0
2018-06-06,257652.0
2018-06-07,281144.0
2018-06-08,293176.0
2018-06-11,284932.0
2018-06-12,278046.0
2018-06-13,261720.0
2018-06-14,260882.0
2018-06-15,264152.0
2018-06-19,255162.0
2018-06-20,255300.0
2018-06-21,258924.0
2018-06-22,267140.0
2018-06-25,271176.0
2018-06-26,277838.0
2018-06-27,284040.0
2018-06-28,276616.0
2018-06-29,269070.0
2018-07-02,267464.0
2018-07-03,253850.0
2018-07-04,267014.0
2018-07-05,267602.0
2018-07-06,283568.0
2018-07-09,275526.0
2018-07-10,290856.0
2018-07-11,291230.0
2018-07-12,302378.0
2018-07-13,319472.0
2018-07-16,321362.0
2018-07-17,319248.0
2018-07-18,321848.0
2018-07-19,324020.0
2018-07-20,328814.0
2018-07-23,331626.0
2018-07-24,332612.0
2018-07-25,332554.0
2018-07-26,332580.0
2018-07-27,333988.0
2018-07-30,328554.0
2018-07-31,318728.0
2018-08-01,323412.0
2018-08-02,324086.0
