trading_date,RS_total_oi
2019-01-18,18.0
2019-01-21,20.0
2019-01-22,20.0
2019-01-23,20.0
2019-01-24,16.0
2019-01-25,16.0
2019-01-28,14.0
2019-01-29,18.0
2019-01-30,16.0
2019-01-31,14.0
2019-02-01,10.0
2019-02-11,10.0
2019-02-12,10.0
2019-02-13,10.0
2019-02-14,10.0
2019-02-15,10.0
2019-02-18,10.0
2019-02-19,10.0
2019-02-20,38.0
2019-02-21,38.0
2019-02-22,36.0
2019-02-25,36.0
2019-02-26,36.0
2019-02-27,36.0
2019-02-28,36.0
2019-03-01,32.0
2019-03-04,32.0
2019-03-05,146.0
2019-03-06,156.0
2019-03-07,156.0
2019-03-08,244.0
2019-03-11,248.0
2019-03-12,344.0
2019-03-13,350.0
2019-03-14,346.0
2019-03-15,304.0
2019-03-18,320.0
2019-03-19,314.0
2019-03-20,314.0
2019-03-21,312.0
2019-03-22,310.0
2019-03-25,320.0
2019-03-26,322.0
2019-03-27,502.0
2019-03-28,1232.0
2019-03-29,1550.0
