trading_date,Y_total_oi
2016-12-09,1027098.0
2016-12-12,1024372.0
2016-12-13,1026610.0
2016-12-14,985504.0
2016-12-15,950120.0
2016-12-16,932174.0
2016-12-19,945744.0
2016-12-20,888186.0
2016-12-21,880562.0
2016-12-22,880732.0
2016-12-23,857712.0
2016-12-26,878386.0
2016-12-27,860692.0
2016-12-28,870436.0
2016-12-29,866920.0
2016-12-30,862654.0
2017-01-03,873228.0
2017-01-04,920808.0
2017-01-05,923928.0
2017-01-06,946876.0
2017-01-09,927460.0
2017-01-10,905718.0
2017-01-11,895936.0
2017-01-12,903910.0
2017-01-13,910294.0
2017-01-16,891930.0
2017-01-17,898668.0
2017-01-18,888726.0
2017-01-19,877382.0
2017-01-20,852826.0
2017-01-23,844540.0
2017-01-24,848044.0
2017-01-25,844460.0
2017-01-26,848742.0
2017-02-03,870942.0
2017-02-06,917090.0
2017-02-07,958026.0
2017-02-08,965860.0
2017-02-09,955606.0
2017-02-10,959752.0
2017-02-13,986918.0
2017-02-14,1008304.0
2017-02-15,1006502.0
2017-02-16,1034236.0
2017-02-17,1013160.0
2017-02-20,1006926.0
2017-02-21,1042760.0
2017-02-22,1048540.0
2017-02-23,1067908.0
2017-02-24,1049952.0
2017-02-27,1060740.0
2017-02-28,1064170.0
2017-03-01,1079580.0
2017-03-02,1058086.0
2017-03-03,1044402.0
2017-03-06,1043760.0
2017-03-07,1088766.0
2017-03-08,1082608.0
2017-03-09,1098052.0
2017-03-10,1105654.0
2017-03-13,1110974.0
2017-03-14,1151576.0
2017-03-15,1129502.0
2017-03-16,1187394.0
2017-03-17,1148048.0
2017-03-20,1149418.0
2017-03-21,1153988.0
2017-03-22,1144328.0
2017-03-23,1169044.0
2017-03-24,1165596.0
2017-03-27,1171566.0
2017-03-28,1143414.0
2017-03-29,1129840.0
2017-03-30,1194490.0
2017-03-31,1174878.0
2017-04-05,1193474.0
2017-04-06,1197204.0
2017-04-07,1184678.0
2017-04-10,1157424.0
2017-04-11,1138760.0
2017-04-12,1158556.0
2017-04-13,1114792.0
2017-04-14,1100032.0
2017-04-17,1113386.0
2017-04-18,1121834.0
2017-04-19,1152884.0
2017-04-20,1150626.0
2017-04-21,1134600.0
2017-04-24,1087888.0
2017-04-25,1107136.0
2017-04-26,1073398.0
2017-04-27,1055004.0
2017-04-28,1059314.0
2017-05-02,1051646.0
2017-05-03,1056420.0
2017-05-04,1063112.0
2017-05-05,1053116.0
2017-05-08,1069214.0
2017-05-09,1038040.0
2017-05-10,1024158.0
2017-05-11,1007884.0
2017-05-12,996140.0
2017-05-15,990614.0
2017-05-16,973418.0
2017-05-17,968612.0
2017-05-18,962536.0
2017-05-19,981042.0
2017-05-22,952222.0
2017-05-23,967380.0
2017-05-24,968842.0
2017-05-25,972404.0
2017-05-26,977544.0
2017-05-31,1032736.0
2017-06-01,1045602.0
2017-06-02,1097422.0
2017-06-05,1077374.0
2017-06-06,1072120.0
2017-06-07,1075628.0
2017-06-08,1071398.0
2017-06-09,1039622.0
2017-06-12,1026146.0
2017-06-13,1006742.0
2017-06-14,1025690.0
2017-06-15,1046484.0
2017-06-16,1062986.0
2017-06-19,1070196.0
2017-06-20,1080966.0
2017-06-21,1080314.0
2017-06-22,1059930.0
2017-06-23,1051388.0
2017-06-26,1042938.0
2017-06-27,1043758.0
2017-06-28,1081226.0
2017-06-29,1099808.0
2017-06-30,1104696.0
2017-07-03,1113408.0
2017-07-04,1107992.0
2017-07-05,1093104.0
2017-07-06,1078264.0
2017-07-07,1059274.0
2017-07-10,1082158.0
2017-07-11,1056900.0
2017-07-12,1046526.0
2017-07-13,1056746.0
2017-07-14,1044300.0
2017-07-17,1059228.0
2017-07-18,1048702.0
2017-07-19,1058574.0
2017-07-20,1085590.0
2017-07-21,1084574.0
2017-07-24,1101762.0
2017-07-25,1107868.0
2017-07-26,1101892.0
2017-07-27,1097420.0
2017-07-28,1083338.0
2017-07-31,1054200.0
2017-08-01,1082500.0
2017-08-02,1079432.0
2017-08-03,1074530.0
2017-08-04,1057078.0
2017-08-07,1042242.0
2017-08-08,990618.0
2017-08-09,963958.0
2017-08-10,970280.0
2017-08-11,962190.0
2017-08-14,961580.0
2017-08-15,948746.0
2017-08-16,945300.0
2017-08-17,945348.0
2017-08-18,928294.0
2017-08-21,919138.0
2017-08-22,909500.0
2017-08-23,921818.0
2017-08-24,905276.0
2017-08-25,891994.0
2017-08-28,874678.0
2017-08-29,860568.0
2017-08-30,869730.0
2017-08-31,864312.0
2017-09-01,867290.0
2017-09-04,863878.0
2017-09-05,866242.0
2017-09-06,878322.0
2017-09-07,859638.0
2017-09-08,859292.0
2017-09-11,820966.0
2017-09-12,818398.0
2017-09-13,800180.0
2017-09-14,792826.0
2017-09-15,804608.0
2017-09-18,797192.0
2017-09-19,807116.0
2017-09-20,793378.0
2017-09-21,811136.0
2017-09-22,830128.0
2017-09-25,856710.0
2017-09-26,833780.0
2017-09-27,840304.0
2017-09-28,815210.0
2017-09-29,789454.0
2017-10-09,772102.0
2017-10-10,820488.0
2017-10-11,847586.0
2017-10-12,844302.0
2017-10-13,859494.0
2017-10-16,864368.0
2017-10-17,878478.0
2017-10-18,881818.0
2017-10-19,922542.0
2017-10-20,907992.0
2017-10-23,883366.0
2017-10-24,880730.0
2017-10-25,874558.0
2017-10-26,877308.0
2017-10-27,845544.0
2017-10-30,840514.0
2017-10-31,848502.0
2017-11-01,869768.0
2017-11-02,873384.0
2017-11-03,880020.0
2017-11-06,878354.0
2017-11-07,870836.0
2017-11-08,878528.0
2017-11-09,865400.0
2017-11-10,903392.0
2017-11-13,907698.0
2017-11-14,933624.0
2017-11-15,962666.0
2017-11-16,987148.0
2017-11-17,1001192.0
2017-11-20,1041500.0
2017-11-21,1023700.0
2017-11-22,1031416.0
2017-11-23,1031904.0
2017-11-24,1028252.0
2017-11-27,1036916.0
2017-11-28,1028148.0
2017-11-29,1077484.0
2017-11-30,1020112.0
2017-12-01,1016592.0
2017-12-04,1011178.0
2017-12-05,1021434.0
2017-12-06,1015282.0
2017-12-07,1010134.0
2017-12-08,997648.0
2017-12-11,993954.0
2017-12-12,987780.0
2017-12-13,992834.0
2017-12-14,1010104.0
2017-12-15,1006630.0
2017-12-18,1002730.0
2017-12-19,1019090.0
2017-12-20,1011092.0
2017-12-21,1027176.0
2017-12-22,1049988.0
2017-12-25,1023782.0
2017-12-26,1018432.0
2017-12-27,1006280.0
2017-12-28,990542.0
2017-12-29,988984.0
2018-01-02,930614.0
2018-01-03,944016.0
2018-01-04,921424.0
2018-01-05,917418.0
2018-01-08,987082.0
2018-01-09,992184.0
2018-01-10,995030.0
2018-01-11,999576.0
2018-01-12,1016166.0
2018-01-15,1012042.0
2018-01-16,1027808.0
2018-01-17,1039582.0
2018-01-18,1050682.0
2018-01-19,1075612.0
2018-01-22,1063790.0
2018-01-23,1054640.0
2018-01-24,1048734.0
2018-01-25,1056070.0
2018-01-26,1075286.0
2018-01-29,1095198.0
2018-01-30,1098570.0
2018-01-31,1076142.0
2018-02-01,1091090.0
2018-02-02,1089042.0
2018-02-05,1088924.0
2018-02-06,1073492.0
2018-02-07,1085320.0
2018-02-08,1061562.0
2018-02-09,1059084.0
2018-02-12,1050792.0
2018-02-13,1039952.0
2018-02-14,998484.0
2018-02-22,987434.0
2018-02-23,1031684.0
2018-02-26,1015012.0
2018-02-27,1023584.0
2018-02-28,1022078.0
2018-03-01,1025930.0
2018-03-02,1013114.0
2018-03-05,996310.0
2018-03-06,983192.0
2018-03-07,1011706.0
2018-03-08,985868.0
2018-03-09,979134.0
2018-03-12,966706.0
2018-03-13,981230.0
2018-03-14,970024.0
2018-03-15,1002400.0
2018-03-16,1005240.0
2018-03-19,1030458.0
2018-03-20,1020738.0
2018-03-21,1039004.0
2018-03-22,1041022.0
2018-03-23,991194.0
2018-03-26,969158.0
2018-03-27,1012716.0
2018-03-28,987820.0
2018-03-29,1006678.0
2018-03-30,986120.0
2018-04-02,1023360.0
2018-04-03,1019158.0
2018-04-04,1024786.0
2018-04-09,1037122.0
2018-04-10,1065094.0
2018-04-11,1074302.0
2018-04-12,1072618.0
2018-04-13,1079242.0
2018-04-16,1070266.0
2018-04-17,1086522.0
2018-04-18,1072750.0
2018-04-19,1100568.0
2018-04-20,1102580.0
2018-04-23,1121282.0
2018-04-24,1128056.0
2018-04-25,1135424.0
2018-04-26,1155444.0
2018-04-27,1124162.0
2018-05-02,1117234.0
2018-05-03,1102088.0
2018-05-04,1130778.0
2018-05-07,1123818.0
2018-05-08,1120298.0
2018-05-09,1121318.0
2018-05-10,1119786.0
2018-05-11,1120196.0
2018-05-14,1147114.0
2018-05-15,1125584.0
