trading_date,I_total_oi
2016-03-30,1803326.0
2016-03-31,1665568.0
2016-04-01,1537602.0
2016-04-05,1547960.0
2016-04-06,1676332.0
2016-04-07,1631180.0
2016-04-08,1645290.0
2016-04-11,1724618.0
2016-04-12,1799092.0
2016-04-13,1733478.0
2016-04-14,1663762.0
2016-04-15,1635756.0
2016-04-18,1673150.0
2016-04-19,1732458.0
2016-04-20,1487910.0
2016-04-21,1343616.0
2016-04-22,1230930.0
2016-04-25,1266606.0
2016-04-26,1219262.0
2016-04-27,1181432.0
2016-04-28,1077766.0
2016-04-29,982818.0
2016-05-03,922594.0
2016-05-04,1007346.0
2016-05-05,1158956.0
2016-05-06,1190670.0
2016-05-09,1180668.0
2016-05-10,1197008.0
2016-05-11,1180604.0
2016-05-12,1242462.0
2016-05-13,1295068.0
2016-05-16,1259204.0
2016-05-17,1297746.0
2016-05-18,1325244.0
2016-05-19,1371768.0
2016-05-20,1468426.0
2016-05-23,1501840.0
2016-05-24,1594992.0
2016-05-25,1675150.0
2016-05-26,1750732.0
2016-05-27,1876936.0
2016-05-30,1885900.0
2016-05-31,1887770.0
2016-06-01,1911440.0
2016-06-02,1872972.0
2016-06-03,1809340.0
2016-06-06,1819690.0
2016-06-07,1743204.0
2016-06-08,1725192.0
2016-06-13,1741206.0
2016-06-14,1752694.0
2016-06-15,1804392.0
2016-06-16,1791278.0
2016-06-17,1757186.0
2016-06-20,1776862.0
2016-06-21,1785274.0
2016-06-22,1850024.0
2016-06-23,1849742.0
2016-06-24,1852844.0
2016-06-27,1838244.0
2016-06-28,1777770.0
2016-06-29,1784190.0
2016-06-30,1784902.0
2016-07-01,1653134.0
2016-07-04,1612710.0
2016-07-05,1544356.0
2016-07-06,1522462.0
2016-07-07,1638636.0
2016-07-08,1615602.0
2016-07-11,1589944.0
2016-07-12,1660262.0
2016-07-13,1680046.0
2016-07-14,1700218.0
2016-07-15,1695700.0
2016-07-18,1630216.0
2016-07-19,1512010.0
2016-07-20,1497734.0
2016-07-21,1556294.0
2016-07-22,1555310.0
2016-07-25,1546346.0
2016-07-26,1562456.0
2016-07-27,1659008.0
2016-07-28,1744548.0
2016-07-29,1785718.0
2016-08-01,1813630.0
2016-08-02,1808118.0
2016-08-03,1843544.0
